# OpenSignals Text File Format. Version 1
# {"EC:1B:BD:62:D1:5E": {"position": 0, "device": "bitalino_rev", "device name": "EC:1B:BD:62:D1:5E", "device connection": "BTHEC:1B:BD:62:D1:5E", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10, 10, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2023-12-6", "time": "15:51:37.690", "channels": [2, 3, 5], "sensor": ["ECGBIT", "EDABITREV", "ACCBITREV"], "label": ["A2", "A3", "A5"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2", "A3", "A5"], "special": [{}, {}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
10	0	0	0	0	523	659	429	
11	0	0	0	0	518	659	428	
12	0	0	0	0	519	659	429	
13	0	0	0	0	521	659	430	
14	0	0	0	0	522	658	429	
15	0	0	0	0	525	658	428	
0	0	0	0	0	520	658	428	
1	0	0	0	0	496	658	430	
2	0	0	0	0	502	657	429	
3	0	0	0	0	512	657	428	
4	0	0	0	0	527	657	428	
5	0	0	0	0	572	657	430	
6	0	0	0	0	646	657	430	
7	0	0	0	0	560	657	429	
8	0	0	0	0	454	657	428	
9	0	0	0	0	399	656	430	
10	0	0	0	0	438	656	430	
11	0	0	0	0	507	656	428	
12	0	0	0	0	518	656	428	
13	0	0	0	0	522	656	430	
14	0	0	0	0	527	656	429	
15	0	0	0	0	531	656	430	
0	0	0	0	0	532	656	429	
1	0	0	0	0	532	655	430	
2	0	0	0	0	524	655	430	
3	0	0	0	0	536	655	428	
4	0	0	0	0	536	655	427	
5	0	0	0	0	529	655	428	
6	0	0	0	0	529	655	429	
7	0	0	0	0	536	655	427	
8	0	0	0	0	546	654	428	
9	0	0	0	0	556	654	429	
10	0	0	0	0	561	654	431	
11	0	0	0	0	558	654	430	
12	0	0	0	0	557	654	428	
13	0	0	0	0	543	654	431	
14	0	0	0	0	520	654	429	
15	0	0	0	0	500	654	428	
0	0	0	0	0	481	653	429	
1	0	0	0	0	461	653	430	
2	0	0	0	0	461	653	429	
